food,pricerange,area,name,utts
danish,,east,,Are there any Danish restaurants on the east side of town?
,cheap,centre,,What restaurants in the centre are cheap?
,,,travellers rest,"Hi, I'd like information for the restaurant called Travellers Rest please."
,expensive,,,I am heading to Cambridge soon and am looking to find a nice expensive restaurant to eat at.
crossover,,,,I'm trying to find a restaurant that serves crossover food. Can you recommend anything?
,,,cote,"Hello, I'm looking for a restaurant by the name of Cote. Can you find this for me and book a reservation please?"
,expensive,east,,I would like to find an expensive restaurant in the east part of town.
,,,,I am looking for a place to dine
,cheap,west,,can i please have a cheap restaurant in the west ?
mexican,,north,,"i want a place for dinner and serves a mexican food,where can i find it?please first pick for me a taxi to that place should be to the north."
,moderate,east,,I am looking for a place to dine. The restaurant should be in the east and should be in the moderate price range
,moderate,centre,,Hello! I'm looking for a moderately priced restaurant in the centre.
european,,,,I'm looking for a great European restaurant. Can you help with that?
british,,,,Hi there. I am hoping you could help me find a british restaurant in town.
,expensive,north,,I am looking to eat at a north restaurant in the expensive price range.
turkish,,,,need a restaurant serving turkish style venue
,,,pipasha restaurant,I would like to find a restaurant called Pipasha.
gastropub,,centre,,I want to find a restaurant serving gastropub food in the centre of town.
,expensive,west,,I am looking for an expensive restaurant in the west.
,,,,Hello. I am looking for a recommendation for a place to eat.
,expensive,centre,,"Hi, I would like to find an expensive restaurant in the centre of cambridge please."
malaysian,,centre,,I would like a malaysian restaurant in the centre of town.
bistro,moderate,,,"I am looking for a nice bistro in Cambridge, moderately priced would be good."
portuguese,,,,I would like a restaurant that serves portuguese food
italian,moderate,,,I'd like to find a moderately priced Italian restaurant.
,,centre,,Hello! Can you help me find a restaurant somewhere in the center of Cambridge please?
,,,,Yes I needed information about a particular restaurant.
british,,,,"Yeah, I'm going to be looking for some british food."
indian,,west,,I am looking for a place serving Indian food in the west.
,,,nirala,I need some information on a place to eat call the nirala.
,expensive,south,,I need to find an expensive restauant that's in the south section of the city.
,moderate,east,,"I would like a moderately prices restaurant in the East part of town. I would like the phone number and postcode, please."
french,,centre,,A french restaurant in the centre part of town. Please give me address and phone number.
,expensive,west,,I need an expensive restaurant in the west of town.
the americas,,centre,,Do you have any restaurants in the center of town that serve The Americas cuisine?
chinese,,south,,Please find me a place in the South that serves Chinese food
chinese,,,,Could you recommend a Chinese restaurant for me to try?
,,,the lucky star,I need to get to a restaurant known as the Lucky star
persian,,north,,"Hi, I'm looking for a Persian restaurnt in the north part of the city."
gastropub,,,,I'm looking for a gastropub.
,,,royal spice,"Hello, have you heard of the Royal Spice Restaurant by chance?"
,moderate,north,,I'm trying to find a moderately priced restaurant in the north part of town.
modern european,expensive,,,Can you tell me about any Modern European places in the expensive range?
gastropub,expensive,,,I am looking for a restaurant that serves gastropub food and is expensively priced.
,moderate,west,,Can you find me a moderately priced restaurant in the west ?
,,,jinling noodle bar,"I am looking for directions to Jinling Noodle Bar, can you help me?"
south indian,,centre,,Please help me locate a restaurant in the centre that serves South Indian food. Thanks.
,moderate,centre,,"Hi, I'm looking for a moderate restaurant in the centre. What would you recommend?"
,cheap,north,,Can you help me find a very cheap restaurant in the north?
chinese,,north,,I want a restaurant in the north part of town and serves chinese food. What is the phone number?
,,,cow pizza kitchen and bar,"Hey, when I was a kid my parents took me to a place called the cow pizza kitchen and bar. Is it still around?"
german,,west,,I am looking for a German restaurant in the west.
,,,,I'm looking for a local restaurant to try in Cambridge.
,,,hakka,I am looking for a restaurant named Hakka. Can you tell me how to get there?
caribbean,,,,I'm looking for some caribbean food.
,cheap,south,,I'm looking for a cheap restaurant in the south part of town.
,moderate,south,,"Hello, I am looking for a moderately priced restaurant on the south side of town."
,moderate,centre,,I'm looking for a restaurant in the center of town that is in the moderate price range.
,moderate,north,,"A moderately priced restaurant in the north part of town, please."
chinese,,south,,I am looking for a chinese restaurant in the south.
,,west,,I want to dine in a place in the west.
russian,,,,"Hi, I am looking forward to trying some local restaurants. Can you help me find a place that serves Russian food?"
modern european,,,,I am looking for a restaurant that servers modern european food.
,expensive,north,,I'm going on a date and need an expensive restaurant on the north side of town.
,cheap,centre,,I'm looking for cheap eats in the centre.
panasian,,south,,I want a restaurant in the south part of town and serves panasian food.
,cheap,,,I need a place to eat that is cheap.
,expensive,centre,,I'm looking for a pricy restaurant in the city centre
european,,,,Know anywhere that has european food?
,moderate,,,I need a place to eat in the moderate price.
,,,city stop restaurant,I am looking for a particular restaurant. Its name is called city stop restaurant
indian,,west,,"Hi, I'm looking for an Indian restaurant. I'd prefer something on the west side."
,moderate,centre,,looking for a restaurant. The restaurant should be in the moderate price range and should be in the centre.
,moderate,,,Can you help me find a restaurant in the middle price range?
,expensive,north,,"Hello, I would like to eat somewhere expensive in the North."
indian,,centre,,"I am looking for a place to dine that serves indian food and is located close to the centre, can you help me please?"
vegetarian,,west,,I am looking for a restaurant in the west that serves vegetarian food.
,expensive,centre,,I'm looking for an expensive place to dine in the centre.
,expensive,centre,,"I'm looking for a high end restaurant in the centre, can you help me out?"
,,,yu garden,"I'm looking for yu garden, can you help me find it?"
international,moderate,,,"Hi, is there a moderately priced international cuisine restaurant in Cambridge?"
modern global,,centre,,"Hi, are there any modern global restaurants in the centre?"
italian,,west,,I've got a craving for some pasta. Can you find me a good Italian restaurant on the west side of the city?
,,,pizza express fen ditton,What can you dig up about the pizza express Fen Ditton?
